,total_bases,walks_issued,strikeouts_thrown,win_pct
ARI,15.0,3.0,10.0,0.523
ATL,8.6,2.7,7.2,0.5
BAL,13.7,3.0,8.3,0.357
BOS,13.9,2.8,8.0,0.489
CHC,15.1,4.0,6.8,0.568
CIN,11.4,2.6,7.5,0.467
CLE,11.9,3.6,6.9,0.581
COL,12.1,2.9,6.8,0.163
CHW,10.0,4.0,7.8,0.318
DET,14.9,3.2,8.0,0.659
HOU,9.5,3.8,10.5,0.512
KC,12.2,3.6,8.1,0.556
LAA,13.6,4.2,8.5,0.405
LAD,14.7,4.3,10.6,0.659
MIA,11.1,3.7,7.5,0.381
MIL,11.9,3.7,8.4,0.477
MIN,10.4,2.9,8.6,0.545
NYM,11.2,3.7,9.2,0.636
NYY,19.8,4.5,10.1,0.581
OAK,14.1,4.8,9.5,0.5
PHI,14.2,2.9,10.8,0.581
PIT,9.9,3.9,8.5,0.341
SD,13.2,4.4,9.0,0.643
SEA,11.3,3.3,8.2,0.548
SF,13.6,3.4,8.5,0.568
STL,17.4,4.1,8.0,0.545
TB,12.5,2.2,9.4,0.465
TEX,10.4,2.4,9.0,0.533
TOR,12.0,3.1,8.6,0.488
WSH,13.3,3.9,7.6,0.4
